ECO,ECO_move
A00,1. b4
A01,1. b3
A02,1. f4
A03,1. f4
A04,1. Nf3
A05,1. Nf3
A06,1. Nf3
A07,1. Nf3
A08,1. Nf3
A09,1. Nf3
A10,1. c4
A11,1. c4
A12,1. c4
A13,1. c4
A14,1. c4
A15,1. c4
A16,1. c4
A17,1. c4
A18,1. c4
A19,1. c4
A20,1. c4
A21,1. c4
A22,1. c4
A23,1. c4
A24,1. c4
A25,1. c4
A26,1. c4
A27,1. c4
A28,1. c4
A29,1. c4
A30,1. c4
A31,1. c4
A32,1. c4
A33,1. c4
A34,1. c4
A35,1. c4
A36,1. c4
A37,1. c4
A38,1. c4
A39,1. c4
A40,1. d4
A41,1. d4
A42,1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4
A43,1. d4 c5
A44,1. d4 c5
A45,1. d4 Nf6
A46,1. d4 Nf6
A47,1. d4 Nf6 2. Nf3 b6
A48,1. d4 Nf6 2. Nf3 g6
A49,1. d4 Nf6 2. Nf3 g6
A50,1. d4 Nf6 2. c4
A51,1. d4 Nf6 2. c4 e5
A52,1. d4 Nf6 2. c4 e5
A53,1. d4 Nf6 2. c4 d6
A54,1. d4 Nf6 2. c4 d6
A55,1. d4 Nf6 2. c4 d6
A56,1. d4 Nf6 2. c4 c5
A57,1. d4 Nf6 2. c4 c5 3. d5 b5
A58,1. d4 Nf6 2. c4 c5 3. d5 b5
A59,1. d4 Nf6 2. c4 c5 3. d5 b5
A60,1. d4 Nf6 2. c4 c5 3. d5 e6
A61,1. d4 Nf6 2. c4 c5 3. d5 e6
A62,1. d4 Nf6 2. c4 c5 3. d5 e6
A63,1. d4 Nf6 2. c4 c5 3. d5 e6
A64,1. d4 Nf6 2. c4 c5 3. d5 e6
A65,1. d4 Nf6 2. c4 c5 3. d5 e6
A66,1. d4 Nf6 2. c4 c5 3. d5 e6
A67,1. d4 Nf6 2. c4 c5 3. d5 e6
A68,1. d4 Nf6 2. c4 c5 3. d5 e6
A69,1. d4 Nf6 2. c4 c5 3. d5 e6
A70,1. d4 Nf6 2. c4 c5 3. d5 e6
A71,1. d4 Nf6 2. c4 c5 3. d5 e6
A72,1. d4 Nf6 2. c4 c5 3. d5 e6
A73,1. d4 Nf6 2. c4 c5 3. d5 e6
A74,1. d4 Nf6 2. c4 c5 3. d5 e6
A75,1. d4 Nf6 2. c4 c5 3. d5 e6
A76,1. d4 Nf6 2. c4 c5 3. d5 e6
A77,1. d4 Nf6 2. c4 c5 3. d5 e6
A78,1. d4 Nf6 2. c4 c5 3. d5 e6
A79,1. d4 Nf6 2. c4 c5 3. d5 e6
A80,1. d4 f5
A81,1. d4 f5
A82,1. d4 f5
A83,1. d4 f5
A84,1. d4 f5
A85,1. d4 f5
A86,1. d4 f5
A87,1. d4 f5
A88,1. d4 f5
A89,1. d4 f5
A90,1. d4 f5
A91,1. d4 f5
A92,1. d4 f5
A93,1. d4 f5
A94,1. d4 f5
A95,1. d4 f5
A96,1. d4 f5
A97,1. d4 f5
A98,1. d4 f5
A99,1. d4 f5
B00,1. e4
B01,1. e4 d5
B02,1. e4 Nf6
B03,1. e4 Nf6
B04,1. e4 Nf6
B05,1. e4 Nf6
B06,1. e4 g6
B07,1. e4 d6 2. d4 Nf6 3. Nc3
B08,1. e4 d6 2. d4 Nf6 3. Nc3
B09,1. e4 d6 2. d4 Nf6 3. Nc3
B10,1. e4 c6
B11,1. e4 c6
B12,1. e4 c6
B13,1. e4 c6
B14,1. e4 c6
B15,1. e4 c6
B16,1. e4 c6
B17,1. e4 c6
B18,1. e4 c6
B19,1. e4 c6
B20,1. e4 c5
B21,1. e4 c5
B22,1. e4 c5
B23,1. e4 c5
B24,1. e4 c5
B25,1. e4 c5
B26,1. e4 c5
B27,1. e4 c5
B28,1. e4 c5
B29,1. e4 c5
B30,1. e4 c5
